Element Tag, Physical Group Tag
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 1
42, 1
43, 1
44, 1
45, 1
46, 1
47, 2
48, 2
49, 2
50, 3
51, 3
52, 3
53, 3
54, 3
55, 3
56, 4
57, 4
58, 4
59, 4
60, 4
61, 4
62, 4
63, 4
64, 4
65, 4
66, 4
67, 4
68, 4
69, 4
70, 4
71, 4
72, 4
73, 4
74, 4
75, 4
76, 5
77, 5
78, 5
79, 5
80, 5
81, 5
82, 5
83, 5
84, 5
